customer_id,region,age_group,gender,preferred_device,registered_at,is_premium
UC00088,NRW,18-24,weiblich,Desktop,2023-11-28,nein
UC00089,Hessen,35-44,männlich,Desktop,2023-12-15,nein
UC00090,NRW,35-44,weiblich,Mobile,2023-09-21,nein
UC00091,Hamburg,55-64,männlich,Tablet,2023-07-27,ja
UC00092,NRW,35-44,weiblich,Desktop,2023-02-22,nein
UC00093,NRW,25-34,weiblich,Mobile,2023-05-12,nein
UC00094,NRW,45-54,männlich,Mobile,2023-02-01,nein
UC00095,Hamburg,18-24,männlich,Mobile,2023-01-27,nein
UC00096,Berlin,45-54,männlich,Mobile,2023-01-08,nein
UC00097,NRW,35-44,weiblich,Tablet,2023-06-30,nein
UC00098,Hessen,25-34,männlich,Desktop,2023-02-14,nein
UC00099,Bayern,25-34,männlich,Tablet,2023-08-12,nein
UC00100,Brandenburg,25-34,männlich,Mobile,2023-09-26,nein
UC00101,NRW,45-54,weiblich,Desktop,2023-11-09,ja
UC00102,Thüringen,45-54,weiblich,Mobile,2023-05-24,ja
UC00103,Berlin,18-24,weiblich,Mobile,2023-06-18,nein
UC00104,Berlin,55-64,männlich,Mobile,2023-10-12,nein
UC00105,Berlin,35-44,männlich,Desktop,2023-06-30,nein
UC00106,Hamburg,25-34,männlich,Desktop,2023-02-03,nein
UC00107,Baden-Württemberg,45-54,männlich,Desktop,2023-05-11,ja
UC00108,Sachsen,25-34,weiblich,Desktop,2023-05-13,nein
UC00109,Berlin,55-64,männlich,Mobile,2023-03-16,ja
UC00110,Hamburg,35-44,männlich,Desktop,2023-09-08,nein
UC00111,Baden-Württemberg,18-24,weiblich,Mobile,2023-04-05,nein
UC00112,Berlin,35-44,weiblich,Mobile,2023-10-17,nein
UC00113,NRW,35-44,weiblich,Mobile,2023-10-08,nein
UC00114,Bayern,35-44,männlich,Mobile,2023-03-26,nein
UC00115,NRW,35-44,männlich,Desktop,2023-02-09,nein
UC00116,NRW,25-34,weiblich,Desktop,2023-02-19,nein
UC00117,Thüringen,35-44,männlich,Mobile,2023-12-04,nein
UC00118,Bayern,18-24,weiblich,Mobile,2023-05-13,nein
UC00119,Bayern,65+,weiblich,Desktop,2023-06-05,nein
UC00120,Berlin,45-54,weiblich,Desktop,2023-04-28,ja
UC00121,NRW,35-44,weiblich,Desktop,2023-08-29,nein
UC00122,Baden-Württemberg,35-44,weiblich,Desktop,2023-06-16,nein
UC00123,Berlin,35-44,männlich,Tablet,2023-03-22,nein
UC00124,NRW,18-24,weiblich,Mobile,2023-03-02,ja
UC00125,Baden-Württemberg,35-44,weiblich,Mobile,2023-10-02,nein
UC00126,Sachsen,18-24,weiblich,Mobile,2023-11-04,nein
UC00127,Berlin,55-64,weiblich,Mobile,2023-09-09,ja
UC00128,NRW,25-34,weiblich,Desktop,2023-08-20,nein
UC00129,Berlin,25-34,weiblich,Desktop,2023-09-29,nein
UC00130,NRW,35-44,weiblich,Desktop,2023-12-12,nein
UC00131,NRW,25-34,weiblich,Tablet,2023-11-21,nein
UC00132,Berlin,18-24,männlich,Desktop,2023-08-12,ja
UC00133,Hessen,35-44,männlich,Tablet,2023-03-12,nein
UC00134,Baden-Württemberg,45-54,männlich,Mobile,2023-06-08,nein
UC00135,Hamburg,55-64,weiblich,Desktop,2023-04-22,nein
UC00136,Baden-Württemberg,45-54,weiblich,Mobile,2023-04-09,nein
UC00137,Thüringen,35-44,weiblich,Tablet,2023-09-13,nein
UC00138,Baden-Württemberg,18-24,weiblich,Desktop,2023-07-13,nein
UC00139,Hessen,25-34,männlich,Tablet,2023-06-20,nein
UC00140,Baden-Württemberg,18-24,männlich,Desktop,2023-10-03,ja
UC00141,Berlin,35-44,weiblich,Tablet,2023-12-21,ja
UC00142,Brandenburg,45-54,weiblich,Tablet,2023-04-24,nein
UC00143,NRW,55-64,divers,Mobile,2023-08-03,ja
UC00144,NRW,35-44,männlich,Mobile,2023-01-28,nein
UC00145,Hessen,35-44,männlich,Mobile,2023-11-15,ja
UC00146,Hamburg,55-64,männlich,Desktop,2023-12-03,ja
UC00147,Baden-Württemberg,25-34,männlich,Mobile,2023-06-26,nein
UC00148,Sachsen,65+,weiblich,Mobile,2023-11-29,nein
UC00149,Bayern,45-54,männlich,Desktop,2023-05-30,nein
UC00150,Hessen,45-54,weiblich,Tablet,2023-02-19,nein
UC00151,Berlin,55-64,männlich,Mobile,2023-07-24,nein
UC00152,Bayern,25-34,männlich,Tablet,2023-01-30,nein
UC00153,Brandenburg,25-34,männlich,Desktop,2023-11-27,nein
UC00154,Hamburg,35-44,männlich,Desktop,2023-12-11,nein
UC00155,Sachsen,18-24,weiblich,Desktop,2023-12-24,nein
UC00156,NRW,18-24,divers,Desktop,2023-10-01,nein
UC00157,Baden-Württemberg,45-54,männlich,Mobile,2023-11-06,ja
UC00158,NRW,35-44,weiblich,Mobile,2023-09-22,nein
UC00159,Bayern,18-24,männlich,Desktop,2023-04-04,nein
UC00160,Berlin,25-34,männlich,Mobile,2023-09-16,ja
UC00161,Hessen,55-64,männlich,Mobile,2023-06-21,nein
UC00162,Thüringen,25-34,männlich,Desktop,2023-06-27,nein
UC00163,NRW,25-34,weiblich,Mobile,2023-08-11,nein
UC00164,NRW,45-54,weiblich,Desktop,2023-06-03,nein
UC00165,Berlin,45-54,männlich,Mobile,2023-08-24,nein
UC00166,Hessen,55-64,männlich,Mobile,2023-11-08,nein
UC00167,Berlin,35-44,männlich,Desktop,2023-09-14,nein
UC00168,Bayern,18-24,männlich,Mobile,2023-11-03,nein
UC00169,Berlin,45-54,weiblich,Mobile,2023-10-18,nein
UC00170,NRW,45-54,männlich,Mobile,2023-07-14,nein
UC00171,Hessen,25-34,männlich,Mobile,2023-11-10,nein
UC00172,Sachsen,45-54,weiblich,Mobile,2023-10-20,nein
UC00173,Sachsen,45-54,divers,Tablet,2023-11-09,nein
UC00174,Bayern,25-34,weiblich,Mobile,2023-05-24,nein
UC00175,Hamburg,35-44,männlich,Tablet,2023-02-12,nein
UC00176,Baden-Württemberg,35-44,männlich,Mobile,2023-08-25,nein
UC00177,Bayern,55-64,männlich,Mobile,2023-06-08,ja
UC00178,Bayern,18-24,divers,Mobile,2023-04-02,nein
UC00179,Bayern,35-44,männlich,Desktop,2023-07-29,nein
UC00180,Hamburg,25-34,weiblich,Mobile,2023-07-10,nein
UC00181,Niedersachsen,25-34,männlich,Mobile,2023-06-22,nein
UC00182,Sachsen,18-24,männlich,Mobile,2023-09-08,nein
UC00183,NRW,25-34,weiblich,Desktop,2023-06-26,ja
UC00184,NRW,35-44,divers,Mobile,2023-05-10,nein
UC00185,Bayern,35-44,weiblich,Desktop,2023-03-22,nein
UC00186,Hessen,25-34,männlich,Desktop,2023-08-20,ja
UC00187,Sachsen,25-34,weiblich,Mobile,2023-03-09,ja
UC00188,Sachsen,25-34,weiblich,Desktop,2023-08-17,nein
UC00189,Bayern,18-24,männlich,Mobile,2023-10-17,ja
UC00190,Baden-Württemberg,25-34,männlich,Mobile,2023-03-28,nein
UC00191,Bayern,45-54,männlich,Mobile,2023-06-27,nein
UC00192,Bayern,65+,männlich,Mobile,2023-02-11,nein
UC00193,Niedersachsen,18-24,weiblich,Desktop,2023-01-26,ja
UC00194,Berlin,35-44,männlich,Mobile,2023-08-21,nein
UC00195,Baden-Württemberg,35-44,weiblich,Desktop,2023-11-28,nein
UC00196,Sachsen,35-44,männlich,Mobile,2023-12-11,nein
UC00197,NRW,35-44,weiblich,Mobile,2023-06-15,nein
UC00198,NRW,65+,männlich,Mobile,2023-02-05,nein
UC00199,Bayern,18-24,männlich,Desktop,2023-08-05,ja
UC00200,Brandenburg,35-44,männlich,Mobile,2023-12-06,nein
UC00201,Hessen,55-64,männlich,Tablet,2023-08-22,nein
UC00202,Bayern,35-44,weiblich,Mobile,2023-11-26,ja
UC00203,Sachsen,25-34,männlich,Mobile,2023-11-10,nein
UC00204,Berlin,45-54,männlich,Desktop,2023-08-05,ja
UC00205,Niedersachsen,55-64,weiblich,Mobile,2023-09-30,nein
UC00206,Niedersachsen,25-34,weiblich,Mobile,2023-09-13,nein
UC00207,Bayern,35-44,weiblich,Desktop,2023-03-25,nein
UC00208,Baden-Württemberg,25-34,weiblich,Mobile,2023-08-09,nein
UC00209,Sachsen,25-34,männlich,Mobile,2023-02-01,nein
UC00210,Berlin,35-44,weiblich,Mobile,2023-10-21,nein
UC00211,NRW,18-24,männlich,Desktop,2023-07-24,nein
UC00212,Bayern,25-34,männlich,Mobile,2023-04-28,nein
UC00213,Hessen,45-54,weiblich,Mobile,2023-07-13,nein
UC00214,Bayern,25-34,männlich,Mobile,2023-11-20,nein
UC00215,NRW,25-34,männlich,Mobile,2023-06-28,nein
UC00216,Sachsen,35-44,männlich,Desktop,2023-06-12,nein
UC00217,Baden-Württemberg,65+,weiblich,Tablet,2023-06-28,nein
UC00218,Niedersachsen,18-24,männlich,Mobile,2023-08-17,nein
UC00219,Bayern,55-64,männlich,Mobile,2023-10-30,ja
UC00220,Baden-Württemberg,18-24,weiblich,Desktop,2023-05-16,nein
UC00221,Brandenburg,45-54,weiblich,Mobile,2023-04-10,nein
UC00222,Berlin,45-54,männlich,Mobile,2023-10-28,nein
UC00223,Baden-Württemberg,35-44,männlich,Desktop,2023-12-09,nein
UC00224,Berlin,35-44,männlich,Desktop,2023-02-28,nein
UC00225,Baden-Württemberg,35-44,männlich,Desktop,2023-05-17,nein
UC00226,NRW,35-44,weiblich,Desktop,2023-01-30,nein
UC00227,Thüringen,18-24,männlich,Mobile,2023-08-14,nein
UC00228,Hessen,55-64,weiblich,Desktop,2023-09-11,nein
UC00229,Berlin,35-44,männlich,Mobile,2023-11-11,nein
UC00230,NRW,45-54,weiblich,Mobile,2023-04-07,nein
UC00231,Thüringen,35-44,männlich,Mobile,2023-12-23,nein
UC00232,Baden-Württemberg,25-34,männlich,Desktop,2023-09-09,nein
UC00233,NRW,35-44,weiblich,Mobile,2023-11-27,nein
UC00234,Niedersachsen,55-64,weiblich,Desktop,2023-02-24,nein
UC00235,NRW,45-54,männlich,Mobile,2023-10-03,nein
UC00236,NRW,25-34,männlich,Desktop,2023-09-18,nein
UC00237,Brandenburg,65+,männlich,Mobile,2023-09-18,nein
UC00238,NRW,25-34,weiblich,Mobile,2023-10-25,nein
UC00239,NRW,25-34,weiblich,Desktop,2023-02-09,nein
UC00240,Baden-Württemberg,45-54,weiblich,Desktop,2023-12-07,nein
UC00241,Bayern,25-34,weiblich,Desktop,2023-10-27,nein
UC00242,Niedersachsen,45-54,weiblich,Mobile,2023-10-07,nein
UC00243,Baden-Württemberg,25-34,männlich,Mobile,2023-07-27,nein
UC00244,Brandenburg,45-54,männlich,Mobile,2023-09-21,nein
UC00245,Thüringen,35-44,weiblich,Mobile,2023-07-24,nein
UC00246,Bayern,25-34,männlich,Desktop,2023-01-21,nein
UC00247,Sachsen,35-44,weiblich,Desktop,2023-11-27,ja
UC00248,Bayern,25-34,weiblich,Mobile,2023-11-19,nein
UC00249,Brandenburg,25-34,weiblich,Mobile,2023-01-11,nein
UC00250,NRW,25-34,weiblich,Mobile,2023-03-29,ja
UC00251,Niedersachsen,55-64,männlich,Desktop,2023-02-23,ja
UC00252,Niedersachsen,35-44,männlich,Desktop,2023-07-02,nein
UC00253,Bayern,18-24,weiblich,Desktop,2023-08-02,nein
UC00254,Berlin,35-44,männlich,Mobile,2023-02-17,ja
UC00255,Baden-Württemberg,45-54,weiblich,Mobile,2023-12-18,nein
UC00256,Baden-Württemberg,35-44,männlich,Desktop,2023-04-24,nein
UC00257,Berlin,25-34,weiblich,Desktop,2023-02-03,nein
UC00258,NRW,65+,männlich,Desktop,2023-07-17,nein
UC00259,NRW,35-44,männlich,Tablet,2023-04-09,nein
UC00260,NRW,18-24,weiblich,Desktop,2023-02-10,nein
UC00261,Hamburg,25-34,weiblich,Mobile,2023-11-12,nein
UC00262,Hessen,45-54,divers,Mobile,2023-03-12,nein
UC00263,Bayern,45-54,weiblich,Mobile,2023-01-18,nein
UC00264,Sachsen,25-34,weiblich,Mobile,2023-11-13,nein
UC00265,NRW,45-54,weiblich,Mobile,2023-10-31,ja
UC00266,Berlin,25-34,männlich,Mobile,2023-06-05,nein
UC00267,Niedersachsen,25-34,divers,Mobile,2023-07-13,nein
UC00268,Hessen,25-34,weiblich,Mobile,2023-06-17,nein
UC00269,Hessen,35-44,weiblich,Mobile,2023-09-14,nein
UC00270,Baden-Württemberg,45-54,weiblich,Mobile,2023-06-23,ja
UC00271,Sachsen,25-34,divers,Mobile,2023-11-04,nein
UC00272,Bayern,35-44,weiblich,Desktop,2023-09-21,ja
UC00273,Bayern,55-64,männlich,Mobile,2023-02-19,ja
UC00274,Hessen,25-34,weiblich,Mobile,2023-08-23,ja
UC00275,Baden-Württemberg,25-34,weiblich,Mobile,2023-02-23,nein
UC00276,NRW,45-54,weiblich,Mobile,2023-10-13,nein
UC00277,Baden-Württemberg,55-64,weiblich,Desktop,2023-10-01,nein
UC00278,Thüringen,25-34,männlich,Mobile,2023-02-17,ja
UC00279,Bayern,25-34,männlich,Tablet,2023-11-11,nein
UC00280,Sachsen,25-34,weiblich,Mobile,2023-07-30,nein
UC00281,NRW,25-34,männlich,Desktop,2023-03-09,nein
UC00282,Baden-Württemberg,25-34,weiblich,Mobile,2023-11-03,nein
UC00283,NRW,35-44,weiblich,Tablet,2023-02-20,nein
UC00284,Bayern,25-34,divers,Desktop,2023-07-24,nein
UC00285,Baden-Württemberg,35-44,weiblich,Mobile,2023-01-29,nein
UC00286,Hamburg,25-34,männlich,Desktop,2023-09-06,nein
UC00287,Hessen,25-34,weiblich,Desktop,2023-11-19,ja
UC00288,Bayern,25-34,weiblich,Desktop,2023-05-15,nein
UC00289,Baden-Württemberg,25-34,weiblich,Mobile,2023-08-02,nein
UC00290,Berlin,35-44,weiblich,Desktop,2023-08-18,nein
UC00291,Bayern,45-54,männlich,Desktop,2023-11-24,nein
UC00292,Bayern,55-64,weiblich,Tablet,2023-10-27,nein
UC00293,Berlin,45-54,weiblich,Desktop,2023-07-13,nein
UC00294,Baden-Württemberg,45-54,weiblich,Mobile,2023-11-10,nein
UC00295,NRW,18-24,weiblich,Mobile,2023-07-08,nein
UC00296,NRW,25-34,männlich,Mobile,2023-12-01,nein
UC00297,NRW,45-54,weiblich,Mobile,2023-04-04,nein
UC00298,NRW,25-34,weiblich,Mobile,2023-05-30,nein
UC00299,Baden-Württemberg,65+,männlich,Desktop,2023-12-29,nein
UC00300,NRW,45-54,weiblich,Mobile,2023-07-13,nein
UC00301,Baden-Württemberg,18-24,weiblich,Mobile,2023-04-04,nein
UC00302,NRW,18-24,weiblich,Desktop,2023-09-12,nein
UC00303,NRW,18-24,weiblich,Mobile,2023-04-13,nein
UC00304,Hessen,25-34,weiblich,Mobile,2023-03-17,nein
UC00305,NRW,25-34,weiblich,Mobile,2023-11-17,nein
UC00306,Hamburg,18-24,divers,Mobile,2023-11-05,nein
UC00307,Berlin,25-34,weiblich,Desktop,2023-06-05,nein
UC00308,Bayern,25-34,weiblich,Mobile,2023-06-27,ja
UC00309,Niedersachsen,25-34,männlich,Mobile,2023-06-02,nein
UC00310,Hamburg,25-34,weiblich,Desktop,2023-07-26,nein
UC00311,Berlin,35-44,weiblich,Mobile,2023-02-12,nein
UC00312,Berlin,45-54,männlich,Desktop,2023-01-11,nein
UC00313,NRW,45-54,divers,Mobile,2023-03-30,nein
UC00314,Berlin,25-34,männlich,Desktop,2023-11-23,nein
UC00315,Hessen,25-34,männlich,Desktop,2023-03-16,ja
UC00316,NRW,25-34,männlich,Mobile,2023-10-28,nein
UC00317,Baden-Württemberg,55-64,männlich,Desktop,2023-07-21,nein
UC00318,NRW,45-54,weiblich,Mobile,2023-03-09,nein
UC00319,Baden-Württemberg,35-44,männlich,Desktop,2023-09-22,nein
UC00320,Hamburg,35-44,weiblich,Mobile,2023-08-05,nein
UC00321,Brandenburg,65+,männlich,Desktop,2023-09-26,nein
UC00322,NRW,25-34,männlich,Desktop,2023-04-17,nein
UC00323,Berlin,35-44,männlich,Mobile,2023-05-15,nein
UC00324,Hessen,25-34,weiblich,Desktop,2023-05-15,nein
UC00325,Berlin,45-54,weiblich,Desktop,2023-04-16,nein
UC00326,Hamburg,25-34,männlich,Desktop,2023-04-05,ja
UC00327,Niedersachsen,25-34,weiblich,Mobile,2023-05-09,nein
UC00328,Bayern,45-54,weiblich,Mobile,2023-12-27,ja
UC00329,Berlin,55-64,weiblich,Desktop,2023-10-21,nein
UC00330,NRW,45-54,männlich,Mobile,2023-08-11,nein
UC00331,Hamburg,55-64,weiblich,Tablet,2023-06-12,nein
UC00332,Bayern,55-64,divers,Mobile,2023-07-12,nein
UC00333,Hamburg,55-64,weiblich,Mobile,2023-04-26,nein
UC00334,Bayern,65+,weiblich,Tablet,2023-07-30,nein
UC00335,Sachsen,25-34,weiblich,Mobile,2023-11-11,ja
UC00336,Bayern,35-44,weiblich,Mobile,2023-10-14,nein
UC00337,NRW,45-54,weiblich,Desktop,2023-09-06,nein
UC00338,Hessen,35-44,weiblich,Desktop,2023-03-13,nein
UC00339,Baden-Württemberg,55-64,weiblich,Mobile,2023-06-23,nein
UC00340,Brandenburg,25-34,männlich,Mobile,2023-09-11,nein
UC00341,NRW,45-54,weiblich,Mobile,2023-09-24,nein
UC00342,Niedersachsen,45-54,weiblich,Mobile,2023-12-22,nein
UC00343,NRW,25-34,männlich,Mobile,2023-06-26,nein
UC00344,Berlin,35-44,männlich,Mobile,2023-07-28,nein
UC00345,Hessen,45-54,männlich,Desktop,2023-11-02,ja
UC00346,Baden-Württemberg,45-54,weiblich,Mobile,2023-01-24,nein
UC00347,Niedersachsen,25-34,weiblich,Mobile,2023-11-28,nein
UC00348,Bayern,25-34,männlich,Mobile,2023-07-18,nein
UC00349,Bayern,25-34,weiblich,Mobile,2023-08-06,nein
UC00350,Hessen,45-54,weiblich,Desktop,2023-10-17,nein
UC00351,Bayern,35-44,männlich,Mobile,2023-01-24,nein
UC00352,Bayern,55-64,weiblich,Mobile,2023-10-26,ja
UC00353,Berlin,45-54,männlich,Mobile,2023-12-13,nein
UC00354,Sachsen,55-64,weiblich,Desktop,2023-09-15,nein
UC00355,Bayern,55-64,weiblich,Tablet,2023-06-02,nein
UC00356,Hamburg,25-34,weiblich,Mobile,2023-04-26,nein
UC00357,Hamburg,35-44,weiblich,Mobile,2023-06-28,nein
UC00358,NRW,55-64,männlich,Mobile,2023-11-11,nein
UC00359,Berlin,55-64,männlich,Mobile,2023-01-27,ja
UC00360,Bayern,35-44,männlich,Mobile,2023-10-15,ja
UC00361,Baden-Württemberg,35-44,männlich,Desktop,2023-02-24,nein
UC00362,NRW,45-54,männlich,Mobile,2023-08-21,nein
UC00363,Hessen,25-34,männlich,Tablet,2023-07-22,nein
UC00364,NRW,18-24,männlich,Desktop,2023-12-21,ja
UC00365,Hamburg,35-44,weiblich,Mobile,2023-09-07,nein
UC00366,Hessen,25-34,weiblich,Mobile,2023-05-27,nein
UC00367,Baden-Württemberg,25-34,weiblich,Desktop,2023-02-26,nein
UC00368,Niedersachsen,35-44,männlich,Mobile,2023-02-22,nein
UC00369,NRW,25-34,weiblich,Mobile,2023-05-25,ja
UC00370,Hamburg,25-34,weiblich,Desktop,2023-08-23,ja
UC00371,Bayern,45-54,männlich,Desktop,2023-03-26,nein
UC00372,Sachsen,25-34,männlich,Mobile,2023-12-30,nein
UC00373,Hamburg,45-54,männlich,Tablet,2023-09-28,nein
UC00374,NRW,55-64,männlich,Desktop,2023-05-28,nein
UC00375,Berlin,25-34,weiblich,Desktop,2023-06-30,ja
UC00376,Thüringen,35-44,männlich,Tablet,2023-05-24,nein
UC00377,Bayern,55-64,männlich,Mobile,2023-08-03,nein
UC00378,Berlin,35-44,weiblich,Mobile,2023-05-28,nein
UC00379,NRW,35-44,männlich,Mobile,2023-10-24,nein
UC00380,Brandenburg,45-54,weiblich,Mobile,2023-11-05,nein
UC00381,Bayern,35-44,weiblich,Desktop,2023-09-07,nein
UC00382,Baden-Württemberg,55-64,weiblich,Desktop,2023-01-19,nein
UC00383,Baden-Württemberg,55-64,weiblich,Desktop,2023-01-04,nein
UC00384,Baden-Württemberg,18-24,männlich,Tablet,2023-12-21,nein
UC00385,Baden-Württemberg,18-24,männlich,Mobile,2023-07-25,nein
UC00386,Baden-Württemberg,25-34,weiblich,Desktop,2023-06-17,nein
UC00387,Niedersachsen,18-24,weiblich,Mobile,2023-03-16,nein
UC00388,NRW,25-34,männlich,Mobile,2023-06-07,nein
UC00389,NRW,45-54,weiblich,Desktop,2023-02-01,nein
UC00390,Sachsen,45-54,weiblich,Mobile,2023-08-03,nein
UC00391,Berlin,45-54,weiblich,Desktop,2023-09-08,nein
UC00392,Berlin,55-64,weiblich,Mobile,2023-01-17,nein
UC00393,Niedersachsen,45-54,männlich,Mobile,2023-12-25,ja
UC00394,Niedersachsen,55-64,männlich,Mobile,2023-12-27,nein
UC00395,Bayern,25-34,weiblich,Desktop,2023-11-15,nein
UC00396,Bayern,25-34,weiblich,Desktop,2023-06-01,nein
UC00397,Baden-Württemberg,25-34,männlich,Desktop,2023-09-25,nein
UC00398,Baden-Württemberg,65+,weiblich,Mobile,2023-11-22,ja
UC00399,Berlin,35-44,männlich,Tablet,2023-05-07,ja
UC00400,NRW,65+,weiblich,Mobile,2023-05-26,nein
UC00401,Hamburg,45-54,weiblich,Desktop,2023-11-06,nein
UC00402,Bayern,25-34,weiblich,Desktop,2023-03-01,nein
UC00403,NRW,18-24,weiblich,Mobile,2023-05-20,nein
UC00404,Bayern,18-24,weiblich,Mobile,2023-07-19,nein
UC00405,Bayern,25-34,weiblich,Desktop,2023-05-06,nein
